"New Category Structure from May 16, 2023 - US","","","","","",""
"","","","","","",""
"L1","L2","L3","L4","L5","L6","Category ID"
"","Maps, Atlases & Globes","","","","","37958"
"","","Africa Maps","","","","98448"
"","","Asia Maps","","","","98450"
"","","Australia/Oceania Maps","","","","98462"
"","","Central America/Caribbean Maps","","","","98452"
"","","Europe Maps","","","","98454"
"","","North America Maps","","","","179654"
"","","South America Maps","","","","98464"
"","","World Maps","","","","98466"
"","","Celestial Maps","","","","184438"
"","","Curiosities Maps","","","","184439"
"","","Digital Maps","","","","63595"
"","","World & Celestial Globes","","","","98468"
"","","Map & Globe Mixed Lots","","","","37964"
"","","Map & Globe Reproductions","","","","151725"
"","Maritime","","","","","37965"
"","","Anchors","","","","63615"
"","","Diving Helmets","","","","63617"
"","","Fishing Nets & Floats","","","","37968"
"","","Harpoons","","","","163090"
"","","Maritime Bells, Whistles & Horns","","","","63616"
"","","Maritime Blueprints","","","","163082"
"","","Maritime Cannons & Cannon Balls","","","","184484"
"","","Maritime Cleats & Chocks","","","","163084"
"","","Maritime Clocks","","","","37966"
"","","Maritime Compasses","","","","37967"
"","","Maritime Flags, Ensigns & Pennants","","","","184485"
"","","Maritime Folk Art","","","","156318"
"","","Maritime Lamps & Lighting","","","","37969"
"","","Maritime Navigational Charts","","","","163083"
"","","Maritime Navigational Instruments","","","","37971"
"","","Maritime Parallel Rules","","","","163085"
"","","Maritime Plaques & Signs","","","","163086"
"","","Maritime Portholes & Hatches","","","","63618"
"","","Maritime Price Guides & Publications","","","","171175"
"","","Maritime Propellers","","","","163087"
"","","Maritime Pulleys","","","","163088"
"","","Maritime Reproductions","","","","156319"
"","","Maritime Scrimshaw Replicas","","","","63619"
"","","Maritime Telegraphs","","","","163089"
"","","Maritime Telescopes","","","","37972"
"","","Maritime Wheels","","","","37973"
"","","Model Ships","","","","37970"
"","","Other Maritime Antiques","","","","66638"
"","Mercantile, Trades & Factories","","","","","163091"
"","","Barber Chairs","","","","163092"
"","","Binding, Embossing & Printing","","","","163093"
"","","Cash Register, Adding Machines","","","","163094"
"","","Display Cases","","","","163095"
"","","Industrial Molds","","","","163096"
"","","Safes & Still Banks","","","","163097"
"","","Scales","","","","163098"
"","","Typewriters","","","","163099"
"","","Other Mercantile Antiques","","","","163100"
"","Musical Instruments (Pre-1930)","","","","","181726"
"","","Brass","","","","156320"
"","","Keyboard","","","","37975"
"","","Percussion","","","","37976"
"","","String","","","","181727"
"","","Wind","","","","37977"
"","","Reproductions","","","","156321"
"","","Price Guides & Publications","","","","171176"
"","","Other Antique Instruments","","","","156322"
"","Primitives","","","","","1217"
"","Restoration & Care","","","","","261755"
"","","Cleaners & Polish","","","","163102"
"","","Storage & Display","","","","163104"
"","","Other Antique Restoration","","","","163105"
"","Rugs & Carpets","","","","","37978"
"","Science & Medicine (Pre-1930)","","","","","20094"
"","","Apothecary & Pharmaceutical","","","","163022"
"","","","Bottles & Jars","","","163023"
"","","","Mortar & Pestles","","","163024"
"","","","Scales","","","163025"
"","","","Other Antique Apothecary","","","163026"
"","","Dentistry","","","","163027"
"","","Engineering","","","","163028"
"","","Medicine","","","","163029"
"","","","Doctor Bags","","","163030"
"","","","Quack Medicine","","","4069"
"","","","Stethoscopes","","","163031"
"","","","Surgical Sets","","","163032"
"","","","Surgical Tools","","","163033"
"","","","Other Medical Antiques","","","1210"
"","","Mining","","","","170063"
"","","Optical","","","","163034"
"","","Scientific Instruments","","","","163035"
"","","","Barometers","","","163036"
"","","","Microscopes & Lab Equipment","","","163037"
"","","","Other Antique Science Equip","","","361"
"","","Price Guides & Publications","","","","171167"
"","","Other Antique Science, Medical","","","","20095"
"","Sewing (Pre-1930)","","","","","156323"
"","","Baskets & Boxes","","","","156324"
"","","Buttons","","","","156325"
"","","Furniture","","","","156326"
"","","Needles & Cases","","","","156328"
"","","Patterns","","","","156329"
"","","Pin Cushions","","","","167949"
"","","Sewing Machines","","","","156327"
"","","Sewing Machine Parts","","","","163106"
"","","Spools & Thread","","","","156332"
"","","Thimbles","","","","156330"
"","","Tools, Scissors & Measures","","","","167950"
"","","Price Guides & Publications","","","","171177"
"","","Other Antique Sewing","","","","156331"
"","Silver","","","","","20096"
"","","Sterling Silver (.925)","","","","2213"
"","","","Ash Trays","","","105908"
"","","","Bottles, Decanters & Flasks","","","163056"
"","","","Bowls","","","37991"
"","","","Boxes","","","37992"
"","","","Brushes & Grooming Sets","","","105911"
"","","","Candlesticks & Candelabra","","","20103"
"","","","Card Cases","","","105899"
"","","","Cigarette & Vesta Cases","","","105900"
"","","","Creamers & Sugar Bowls","","","163055"
"","","","Cups & Goblets","","","37993"
"","","","Dishes & Coasters","","","63620"
"","","","Flatware & Silverware","","","20104"
"","","","Miniatures","","","63623"
"","","","Mustard Pots","","","113310"
"","","","Napkin Rings & Clips","","","39440"
"","","","Pitchers & Jugs","","","37995"
"","","","Plates & Chargers","","","163272"
"","","","Platters & Trays","","","39441"
"","","","Salt & Pepper Shakers","","","39442"
"","","","Salt Cellars","","","163273"
"","","","Sauce Boats","","","105914"
"","","","Souvenir Spoons","","","63621"
"","","","Sugar Bowls & Tongs","","","63622"
"","","","Tea/Coffee Pots & Sets","","","37998"
"","","","Thimbles","","","107440"
"","","","Vases & Urns","","","39443"
"","","","Vinaigrettes","","","107441"
"","","","Mixed Lots","","","163271"
"","","","Other Antique Sterling Silver","","","1215"
"","","Coin Silver (.900)","","","","20097"
"","","Silver Alloys (.800-.899)","","","","169269"
"","","Silverplate","","","","2212"
"","","","Ash Trays","","","105886"
"","","","Baskets","","","163048"
"","","","Bottles, Decanters & Flasks","","","163049"
"","","","Bowls","","","37985"
"","","","Butter Dishes","","","163050"
"","","","Candlesticks & Candelabra","","","20098"
"","","","Creamers & Sugar Bowls","","","163052"
"","","","Cups & Goblets","","","37986"
"","","","Dishes & Coasters","","","105889"
"","","","Flatware & Silverware","","","20099"
"","","","Napkin Rings & Clips","","","105894"
"","","","Pitchers & Jugs","","","39437"
"","","","Plates & Chargers","","","163053"
"","","","Platters & Trays","","","39438"
"","","","Sauce Boats","","","105896"
"","","","Souvenir Spoons","","","163051"
"","","","Tea/Coffee Pots & Sets","","","37988"
"","","","Vases & Urns","","","39439"
"","","","Mixed Lots","","","163054"
"","","","Other Antique Silverplate","","","1216"
"","","Non-U.S. Silver","","","","151726"
"","","","Asia","","","151732"
"","","","Canada","","","151727"
"","","","France","","","151729"
"","","","Germany","","","151730"
"","","","Mexico","","","151733"
"","","","Middle East","","","156333"
"","","","Russia","","","151736"
"","","","Scandinavia","","","156334"
"","","","Spain","","","151735"
"","","","United Kingdom","","","151728"
"","","","Unspecified, Unknown Origin","","","156335"
"","","","Other Antique Non-U.S. Silver","","","151737"
"","","Unspecified, Unknown Type of Silver","","","","169270"
"","","Price Guides & Publications","","","","171168"
"","Tapestries","","","","","261588"
"","Other Antiques","","","","","12"
"Art","","","","","","550"
"","Art Drawings","","","","","552"
"","Art NFTs","","","","","262051"
"","Art Photographs","","","","","2211"
"","Art Posters","","","","","28009"
"","Art Prints","","","","","360"
"","Art Sculptures","","","","","553"
"","Mixed Media Art & Collage Art","","","","","554"
"","Paintings","","","","","551"
"","Textile Art & Fiber Art","","","","","156196"
"","Other Art","","","","","20158"
"Baby","","","","","","2984"
"","Baby Gear","","","","","100223"
"","","Activity Centers","","","","20413"
"","","Baby Jumping Exercisers","","","","117032"
"","","Baby Swings","","","","2990"
"","","Bouncers & Vibrating Chairs","","","","117034"
"","","Playpens & Play Yards","","","","2988"
"","","Play Shades & Tents","","","","117033"
"","","Walkers","","","","134282"
"","","Other Baby Gear","","","","100224"
"","Baby Safety & Health","","","","","20433"
"","","Baby Monitors","","","","20435"
"","","Baby Proofing","","","","184339"
"","","","Baby Locks & Latches","","","117027"
"","","","Corner & Edge Cushions","","","162184"
"","","","Outlet Covers","","","134764"
"","","","Stove Guards","","","106803"
"","","","Other Baby Proofing","","","20434"
"","","Baby Thermometers","","","","117026"
"","","Bed Rails","","","","162183"
"","","Car Window Signs & Decals","","","","134762"
"","","Hearing Protection Earmuffs","","","","184343"
"","","Safety Gates","","","","117029"
"","","Shopping Cart Covers","","","","73470"
"","","Toddler Safety Harnesses","","","","134761"
"","","Other Baby Safety & Health","","","","20436"
"","Bathing & Grooming","","","","","20394"
"","","Baby Scales","","","","117016"
"","","Bath Tubs","","","","113814"
"","","Bath Tub Seats & Rings","","","","162024"
"","","Bathing Accessories","","","","100221"
"","","Gift Sets","","","","134756"
"","","Health & Grooming","","","","45452"
"","","Shampoos & Soaps","","","","82563"
"","","Skin Care","","","","20398"
"","","Towels & Washcloths","","","","45453"
"","","Other Baby Bathing & Grooming","","","","45454"
"","Car Safety Seats","","","","","66692"
"","","Booster to 80lbs","","","","66694"
"","","Car Seat Accessories","","","","66693"
"","","Convertible Car Seat 5-40lbs","","","","66695"
"","","Infant Car Seat 5-20 lbs","","","","66696"
"","","Infant Head Support","","","","117030"
"","","Other Car Safety Seats","","","","2987"
"","Carriers, Slings & Backpacks","","","","","100982"
"","Diapering","","","","","45455"
"","","Baby Wipe Warmers","","","","117017"
"","","Baby Wipes","","","","45456"
"","","Changing Pads & Covers","","","","66674"
"","","Cloth Diapers","","","","146531"
"","","Diaper Bags","","","","15558"
"","","Diaper Cakes","","","","117018"
"","","Diaper Coupons","","","","162036"
"","","Diaper Covers","","","","26267"
"","","Diaper Disposal","","","","20397"
"","","Diaper Stackers","","","","134758"
"","","Disposable Diapers","","","","15559"
"","","Swim Diapers","","","","100222"
"","","Other Diapering","","","","20399"
"","Feeding","","","","","20400"
"","","Baby Bibs & Burp Cloths","","","","20408"
"","","Baby Food","","","","162034"
"","","Booster Chairs","","","","134276"
"","","Bottle Feeding","","","","184344"
"","","","Baby Bottles","","","20402"
"","","","Bottle Bags","","","106777"
"","","","Bottle Brushes","","","184345"
"","","","Bottle Drying Racks","","","184346"
"","","","Bottle Nipples","","","162035"
"","","","Bottle Sterilizers","","","106789"
"","","","Formula","","","20403"
"","","","Formula Coupons","","","82228"
"","","","Formula Dispensers","","","184347"
"","","","Sterilizing/Cleaning Supplies","","","184348"
"","","","Other Bottle Feeding","","","184349"
"","","Bottle & Food Warmers","","","","20404"
"","","Breastfeeding/Nursing","","","","23590"
"","","","Electric Breast Pumps","","","23591"
"","","","Manual Breast Pumps","","","157253"
"","","","Breast Pump Parts","","","184350"
"","","","Breast Milk Storage","","","168751"
"","","","Feeding Pillows & Covers","","","160065"
"","","","Nipple Shields/Protectors","","","168752"
"","","","Nursing Covers/Blankets","","","184340"
"","","","Nursing Pads","","","106766"
"","","","Other Breastfeeding Supplies","","","19732"
"","","Cups, Dishes & Utensils","","","","157325"
"","","","Bowls & Plates","","","184341"
"","","","Sippy Cups & Mugs","","","117387"
"","","","Utensils","","","117385"
"","","","Feeding Sets","","","117386"
"","","","Other Baby Dishes","","","106776"
"","","Food Grinders & Blenders","","","","32866"
"","","High Chairs","","","","2986"
"","","Pacifiers & Soothers","","","","32872"
"","","Pacifier Clips & Cases","","","","162032"
"","","Teethers","","","","121627"
"","","Other Baby Feeding","","","","20405"
"","Keepsakes & Baby Announcements","","","","","117388"
"","","Baby Books & Albums","","","","117389"
"","","Baby Boxes","","","","117390"
"","","Baby Picture Frames","","","","117392"
"","","Birth Announcements & Cards","","","","117391"
"","","Handprint Kits","","","","162037"
"","","Tooth Fairy Pillows","","","","162038"
"","","Other Baby Keepsakes","","","","146532"
"","Nursery Bedding","","","","","20416"
"","","Nursery Bedding Sets","","","","162040"
"","","Bed Pillows","","","","180907"
"","","Blankets & Throws","","","","3081"
"","","Bumpers","","","","20417"
"","","Canopies & Netting","","","","180905"
"","","Cribskirts & Dust Ruffles","","","","52345"
"","","Decorative Nursery Pillows","","","","180906"
"","","Duvet Covers & Sets","","","","134278"
"","","Duvet Inserts","","","","18646"
"","","Mattress Pads & Covers","","","","162041"
"","","Pillowcases & Shams","","","","124327"
"","","Quilts & Coverlets","","","","180908"
"","","Sheets & Sets","","","","180909"
"","","Sleeping Bags & Sleepsacks","","","","100989"
"","","Other Nursery Bedding","","","","20421"
"","Nursery Décor","","","","","66697"
"","","Boxes & Storage","","","","117398"
"","","Lamps & Shades","","","","20428"
"","","Mats & Rugs","","","","37632"
"","","Mobiles","","","","20429"
"","","Night Lights","","","","121153"
"","","Picture Frames","","","","33235"
"","","Wall Décor","","","","37633"
"","","","Art & Prints","","","37634"
"","","","Wall Decals & Vinyl Art","","","180505"
"","","","Wall Hangings","","","37635"
"","","","Wallpaper Borders","","","37636"
"","","","Other Nursery Wall Décor","","","20430"
"","","Wall Letters","","","","146534"
"","","Window Treatments","","","","20431"
"","","Other Nursery Décor","","","","98473"
"","Nursery Furniture","","","","","20422"
"","","Bedside Sleepers","","","","121152"
"","","Baby Dressers","","","","134279"
"","","Bassinets & Cradles","","","","20423"
"","","Changing Tables","","","","20424"
"","","Cribs","","","","2985"
"","","Crib Mattresses","","","","117035"
"","","Moses Baskets","","","","94931"
"","","Nursery Furniture Sets","","","","20425"
"","","Rockers, Gliders","","","","66690"
"","","Other Nursery Furniture","","","","20426"
"","Potty Training","","","","","37631"
"","Strollers & Accessories","","","","","66698"
"","","Strollers","","","","66700"
"","","Stroller Accessories","","","","180911"
"","","","Bassinets","","","180912"
"","","","Covers, Canopies & Umbrellas","","","116554"
"","","","Cup Holders & Snack Trays","","","180913"
"","","","Footmuffs","","","116553"
"","","","Hooks","","","180914"
"","","","Organizers & Nets","","","180915"
"","","","Seat Liners","","","180916"
"","","","Stroller Boards","","","112378"
"","","","Other Stroller Accessories","","","180917"
"","","Stroller Parts","","","","121634"
"","","Other Strollers","","","","2989"
"","Toys for Baby","","","","","19068"
"","","Baby Gyms, Play Mats & Jigsaw Mats","","","","131082"
"","","Blocks & Sorters","","","","100225"
"","","Crib Toys","","","","100226"
"","","Developmental Baby Toys","","","","100227"
"","","Plush Baby Toys","","","","131084"
"","","Rattles","","","","131081"
"","","Other Toys for Baby","","","","179013"
"","Other Baby","","","","","1261"
"","Wholesale Lots","","","","","48757"
"Books & Magazines","","","","","","267"
"","Accessories","","","","","45110"
"","","Book Covers","","","","45113"
"","","Book Lights","","","","120869"
"","","Book Plates","","","","48831"
"","","Book Stands & Holders","","","","162028"
"","","Bookmarks","","","","45114"
"","Antiquarian & Collectible","","","","","29223"
"","Audiobooks","","","","","29792"
"","Books","","","","","261186"
"","Catalogs","","","","","118254"
"","Magazines","","","","","280"
"","Textbooks, Education & Reference","","","","","184644"
"","","Dictionaries & Reference","","","","171273"
"","","Language Courses","","","","11442"
"","","Maps & Atlases","","","","69496"
"","","Study Guides & Test Prep","","","","171223"
"","","Textbooks","","","","1105"
"Business & Industrial","","","","","","12576"
"","Adhesives, Sealants & Tapes","","","","","109471"
"","","Adhesive Tapes","","","","109475"
"","","Glues, Epoxies & Cements","","","","183746"
"","","","Multi-Component Epoxies","","","183857"
"","","","Hot Glue Sticks","","","183968"
"","","","Liquid Glues & Cements","","","184079"
"","","","Spray Adhesives","","","184190"
"","","","Conductive Wire Glue Pastes","","","184293"
"","","Caulks, Sealants & Removers","","","","184304"
"","","","Caulks & Sealants","","","184315"
"","","","Threadlockers","","","184326"
"","","","Liquid & Spray Caulk Removers","","","183747"
"","","","Caulking Tips & Caps","","","183758"
"","","","Caulk Removing Tools","","","183769"
"","","Adhesive Guns & Dispensers","","","","183780"
"","","","Glue Guns","","","183791"
"","","","Caulk Guns","","","183802"
"","","","Glue Dispensing Syringes","","","183813"
"","","","Glue Syringe Tips","","","183824"
"","","","Hot Glue Dispensers","","","183835"
"","","","Tape Guns & Dispensers","","","183846"
"","","","Solder Paste Dispensers","","","183858"
"","Agriculture & Forestry","","","","","11748"
"","","Forestry Equipment & Supplies","","","","61787"
"","","","Equipment","","","61788"
"","","","Supplies & Tools","","","57111"
"","","","Other Forestry Equipment","","","61790"
"","","GPS & Guidance Equipment","","","","159685"
"","","Livestock Supplies","","","","46526"
"","","","Animal Feed","","","113991"
"","","","Animal Health & Veterinary","","","53059"
"","","","Beekeeping","","","46527"
"","","","Beef Cattle","","","46531"
"","","","Dairy Cattle","","","46528"
"","","","Fencing","","","46529"
"","","","Horse","","","61586"
"","","","Pig/Hog","","","66901"
"","","","Poultry","","","46532"
"","","","Sheep & Goat","","","56976"
"","","","Other Livestock Supplies","","","11751"
"","","Other Agriculture & Forestry","","","","1269"
"","","Wholesale Lots","","","","45013"
"","Building Materials & Supplies","","","","","41498"
"","","Cement, Concrete & Masonry","","","","260848"
"","","","Concrete Blocks & Bricks","","","112389"
"","","","Cement, Concrete, Mortar & Stucco Mix","","","260849"
"","","","Rock, Gravel & Sand","","","40502"
"","","","Pavers & Stepping Stones","","","260850"
"","","Commercial Ceiling Tiles & Supplies","","","","260845"
"","","","Ceiling Grids & Suspension Systems","","","260846"
"","","","Ceiling Suspension Hardware & Accessories","","","260847"
"","","","Commercial Ceiling Tiles","","","105994"
"","","Commercial Doors & Door Hardware","","","","260851"
"","","","Commercial Doors","","","58142"
"","","","Commercial Door Frames","","","260852"
"","","","Commercial Door Hardware","","","124511"
"","","Commercial Flooring & Tiles","","","","260856"
"","","","Commercial Flooring & Carpet","","","105992"
"","","","Commercial Floor Care","","","260857"
"","","","Commercial Floor & Wall Tiles","","","260858"
"","","","Commercial Floor & Wall Tile Accessories","","","260859"
"","","","Commercial Floor Transitions","","","260860"
"","","","Commercial Flooring Underlayment","","","260861"
"","","Drywall Construction","","","","260853"
"","","","Drywall Panels","","","34936"
"","","","Drywall Plaster & Joint Compounds","","","260854"
"","","","Drywall Tape & Accessories","","","260855"
"","","Industrial Paint, Coatings & Supplies","","","","46544"
"","","","Brushes, Rollers & Trays","","","260905"
"","","","Industrial Coatings & Sealants","","","260875"
"","","","Industrial Paints","","","260876"
"","","","Paint Mixers & Shakers","","","260877"
"","","","Paint Sprayers & Striping Machines","","","71403"
"","","","Paint Sprayer Parts","","","260878"
"","","","Paint Strippers & Removers","","","260879"
"","","","Plastic Sheeting & Drop Cloths","","","260906"
"","","Industrial Plumbing & Fixtures","","","","260880"
"","","","Drain Components","","","260881"
"","","","Faucets","","","63897"
"","","","Faucet Accessories","","","260882"
"","","","Pipe & Tubing","","","63898"
"","","","Pipe Fittings","","","63900"
"","","","Plumbing Accessories","","","260883"
"","","","Pipe Insulation","","","260884"
"","","","Sinks","","","124539"
"","","","Sink Accessories","","","260885"
"","","","Valves","","","63907"
"","","Industrial Stairways","","","","260893"
"","","","Balusters & Spindles","","","260894"
"","","","Handrails","","","260895"
"","","","Handrail Fittings","","","260896"
"","","","Industrial Stair Units","","","260897"
"","","","Posts","","","260898"
"","","","Stair Railing Kits","","","260899"
"","","","Treads & Risers","","","260900"
"","","Insulation & Accessories","","","","260908"
"","","","Insulation","","","63894"
"","","","Insulation Accessories","","","260862"
"","","Lumber & Composites","","","","260863"
"","","","Lumber","","","147791"
"","","","Wall Paneling & Wainscoting","","","260864"
"","","","Wood Composite Panels & Sheets","","","260865"
"","","","Wood Veneer Sheets","","","260866"
"","","Molding & Millwork","","","","260867"
"","","","Accents & Trim","","","260868"
"","","","Baseboard Molding","","","260869"
"","","","Chair Rail Molding","","","260870"
"","","","Corbels & Supports","","","260871"
"","","","Crown Molding","","","260872"
"","","","Window & Door Trim","","","260873"
"","","","Wood Applique","","","260874"
"","","Roofing & Gutters","","","","260886"
"","","","Gutters","","","260887"
"","","","Gutter Accessories","","","260888"
"","","","Roof Caps","","","260889"
"","","","Roof Flashing","","","260890"
"","","","Roof Tiles & Shingles","","","22566"
"","","","Roof Underlayment","","","260891"
"","","","Roof Vents","","","260892"
"","","","Roofing Sheets & Panels","","","260907"
"","","Windows & Window Hardware","","","","260901"
"","","","Glass Blocks & Glass Panels","","","124452"
"","","","Industrial & Commercial Windows","","","260902"
"","","","Window Hardware","","","114015"
"","","","Window Screens","","","260903"
"","","","Window Sills","","","260904"
"","","Vintage Construction","","","","116996"
"","","","Machine Parts & Tools","","","116997"
"","","","Manuals & Brochures","","","116998"
"","","","Other Vintage Construction","","","99995"
"","","Contractor Guides & Manuals","","","","42300"
"","","Other Building Materials","","","","1268"
"","","Wholesale Lots","","","","56139"
"","Cleaning & Janitorial Supplies","","","","","46534"
"","","Cleaners & Disinfectants","","","","183869"
"","","","Aerosol & Foam Cleaners","","","183880"
"","","","Disinfecting & Sterilizing Products","","","262991"
"","","","Gel, Paste & Powder Cleaners","","","183891"
"","","","Liquid Cleaners","","","183902"
"","","","Pod, Cake & Screen Cleaners","","","183913"
"","","","Cleaning Wipes & Pads","","","183924"
"","","Manual Cleaning Equipment","","","","183935"
"","","","Bottles, Nozzles & Sprayers","","","183946"
"","","","Brush Cleaners","","","183957"
"","","","Cleaning Brushes","","","183969"
"","","","Cleaning Sponges","","","183980"
"","","","Standard Buckets & Pails","","","183991"
"","","","Disposable Janitorial Gloves","","","184002"
"","","","Reusable Dusting Cloths","","","184013"
"","","","Dusters & Duster Refills","","","184024"
"","","","Rags, Towels & Wipers","","","184035"
"","","","Sorbent Pads","","","184046"
"","","","Brooms & Dust Pans","","","184057"
"","","","","Standing Brooms","","184068"
"","","","","Whisk Brooms","","184080"
"","","","","Broom Handles","","184091"
"","","","","Broom Heads","","184102"
"","","","","Dust Pans & Sets","","184113"
"","","","Mops, Mop Parts & Accessories","","","184124"
"","","","","Complete Mops","","184135"
"","","","","Mop Kits & Systems","","184146"
"","","","","Mop Heads","","184157"
"","","","","Mop Pads","","184168"
"","","","","Mop Head Frames","","184179"
"","","","","Mop Pad Holders","","184191"
"","","","","Mop Handles","","184202"
"","","","","Mop Refill Sheets","","184213"
"","","","","Sponge Mop Refills","","184224"
"","","","","Mop Buckets","","184235"
"","","","","Laundry Nets & Mesh Bags","","184246"
"","","","","Other Mop Parts & Accessories","","184257"
"","","","Extension Handles & Poles","","","184268"
"","","","Drain & Toilet Plungers","","","184278"
"","","","Pump Sprayers","","","184289"
"","","","Squeegees & Replacement Blades","","","184294"
"","","","Steel Wool","","","184295"
"","","","Other Cleaning Equipment","","","184296"
"","","Laundry Carts, Bags & Cleaners","","","","184297"
"","","","Laundry Carts, Hampers & Bags","","","184298"
"","","","Laundry Detergents & Softeners","","","184299"
"","","","","Laundry Liquids","","184300"
"","","","","Laundry Powders","","184301"
